,trajectory,time,status,moving,age_seconds,origin_marker,lon,lat,z,wind_drift_factor,current_drift_factor,terminal_velocity,diameter,density,dead,x_sea_water_velocity,y_sea_water_velocity,sea_surface_height,sea_surface_wave_significant_height,sea_ice_area_fraction,x_wind,y_wind,land_binary_mask,sea_floor_depth_below_sea_level,ocean_vertical_diffusivity,ocean_mixed_layer_thickness,sea_water_temperature,sea_water_salinity,surface_downward_x_stress,surface_downward_y_stress,turbulent_kinetic_energy,turbulent_generic_length_scale,upward_sea_water_velocity,fe,no3,po4,si,distance,kd,chl
1481,20,2025-12-04 18:56:18.211162,0.0,1.0,75600.0,0.0,75.504745,9.910315,-0.93849844,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.033622857,0.044575907,0.0,0.099011645,0.0,-0.9375656,1.7736498,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5897045343521965,0.07937548,0.5688393
1482,20,2025-12-04 19:56:18.211162,0.0,1.0,79200.0,0.0,75.50585,9.911765,-0.283277,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.029726923,0.060655933,0.0,0.08464154,0.0,-0.9385229,1.5999651,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5882640072152145,0.07937548,0.5688393
1483,20,2025-12-04 20:56:18.211162,0.0,1.0,82800.0,0.0,75.50682,9.913739,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.027157322,0.07459685,0.0,0.0717254,0.0,-0.9389515,1.4261966,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5863004708404403,0.07937548,0.5688393
1484,20,2025-12-04 21:56:18.211162,0.0,1.0,86400.0,0.0,75.50771,9.916167,-0.36142755,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.043736644,0.04253296,0.0,0.0809247,0.0,-0.95673466,1.5408702,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5838836908867874,0.07937548,0.5688393
1485,20,2025-12-04 22:56:18.211162,0.0,1.0,90000.0,0.0,75.50915,9.917552,-0.08473733,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.06037264,0.015986634,0.0,0.092425056,0.0,-0.97907275,1.6728815,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5825198354629656,0.07937548,0.5688393
1486,20,2025-12-04 23:56:18.211162,0.0,1.0,93600.0,0.0,75.51113,9.918072,-1.0817508,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.07808613,-0.023640227,0.0,0.10469035,0.0,-1.0056167,1.8012329,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5820347046214547,0.07937548,0.5688393
1487,20,2025-12-05 00:56:18.211162,0.0,1.0,97200.0,0.0,75.513695,9.917303,-0.076442584,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.09207353,-0.028231014,0.0,0.07700512,0.0,-0.9647033,1.4831173,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5828578222070243,0.07937548,0.5688393
1488,20,2025-12-05 01:56:18.211162,0.0,1.0,100800.0,0.0,75.516716,9.916384,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.1065718,-0.039984163,0.0,0.052594222,0.0,-0.92251146,1.1344378,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5838555984753216,0.07937548,0.5688393
1489,20,2025-12-05 02:56:18.211162,0.0,1.0,104400.0,0.0,75.52022,9.915083,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.12196187,-0.052675076,0.0,0.03436039,0.0,-0.88418466,0.7842075,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.585266384050624,0.07937548,0.5688393
1490,20,2025-12-05 03:56:18.211162,0.0,1.0,108000.0,0.0,75.52422,9.913368,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.08387618,-0.1025057,0.0,0.02656105,0.0,-0.8843688,0.54553604,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5871316793759896,0.07937548,0.5688393
